R_ID	SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units	Type
AFM	4763-31_3	SL004742	Afamin	Afamin	P43652	173	AFM	Human	RFU	Protein
AFP	5792-8_2	SL000011	alpha-Fetoprotein	AFP	P02771	174	AFP	Human	RFU	Protein
AGER	4125-52_2	SL003680	Advanced glycosylation end product-specific receptor, soluble	sRAGE	Q15109	177	AGER	Human	RFU	Protein
AGR2	4959-2_1	SL004925	Anterior gradient protein 2 homolog	AGR2	O95994	10551	AGR2	Human	RFU	Protein
AGRP	2813-11_2	SL006924	Agouti-related protein	ART	O00253	181	AGRP	Human	RFU	Protein
AGT	3484-60_2	SL000271	Angiotensinogen	Angiotensinogen	P01019	183	AGT	Human	RFU	Protein
AHSG	3581-53_3	SL000251	Alpha-2-HS-glycoprotein	a2-HS-Glycoprotein	P02765	197	AHSG	Human	RFU	Protein
AIF1	2849-49_1	SL004768	Allograft inflammatory factor 1	AIF1	P55008	199	AIF1	Human	RFU	Protein
AIMP1	2714-78_2	SL003334	Endothelial monocyte-activating polypeptide 2	EMAP-2	Q12904	9255	AIMP1	Human	RFU	Protein
AIP	3839-60_2	SL011629	AH receptor-interacting protein	AIP	O00170	9049	AIP	Human	RFU	Protein
AK1	5012-67_1	SL004296	Adenylate kinase isoenzyme 1	Myokinase, human	P00568	203	AK1	Human	RFU	Protein
AKR1A1	4192-10_2	SL008039	Alcohol dehydrogenase [NADP(+)]	AK1A1	P14550	10327	AKR1A1	Human	RFU	Protein
AKR7A2	4188-1_2	SL003658	Aflatoxin B1 aldehyde reductase member 2	Aflatoxin B1 aldehyde reductase	O43488	8574	AKR7A2	Human	RFU	Protein
AKT1.AKT2.AKT3	3392-68_2	SL017614	RAC-alpha/beta/gamma serine/threonine-protein kinase	PKB a/b/g	P31749 P31751 Q9Y243	207 208 10000	AKT1 AKT2 AKT3	Human	RFU	Protein
AKT2	5360-9_2	SL003722	RAC-beta serine/threonine-protein kinase	PKB beta	P31751	208	AKT2	Human	RFU	Protein
ALB	3707-12_2	SL000254	Serum albumin	Albumin	P02768	213	ALB	Human	RFU	Protein
ALCAM	5451-1_3	SL003166	CD166 antigen	ALCAM	Q13740	214	ALCAM	Human	RFU	Protein
ALDOA	5864-10_3	SL004910	Fructose-bisphosphate aldolase A	aldolase A	P04075	226	ALDOA	Human	RFU	Protein
AMH	4923-79_1	SL005201	Muellerian-inhibiting factor	MIS	P03971	268	AMH	Human	RFU	Protein
AMICA1	5094-62_3	SL009202	Junctional adhesion molecule-like	JAML1	Q86YT9	120425	AMICA1	Human	RFU	Protein
AMIGO2	14134-49_3	SL015046	Amphoterin-induced protein 2	AMGO2	Q86SJ2	347902	AMIGO2	Human	RFU	Protein
AMN	4322-28_3	SL013489	Protein amnionless	AMNLS	Q9BXJ7	81693	AMN	Human	RFU	Protein
ANG	4874-3_1	SL000003	Angiogenin	Angiogenin	P03950	283	ANG	Human	RFU	Protein
ANGPT1	2811-27_1	SL001995	Angiopoietin-1	Angiopoietin-1	Q15389	284	ANGPT1	Human	RFU	Protein
ANGPT2	2602-2_2	SL001996	Angiopoietin-2	Angiopoietin-2	O15123	285	ANGPT2	Human	RFU	Protein
ANGPT4	2500-2_3	SL004643	Angiopoietin-4	Angiopoietin-4	Q9Y264	51378	ANGPT4	Human	RFU	Protein
ANGPTL3	3281-19_1	SL006803	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3	Human	RFU	Protein
ANGPTL4	3796-79_2	SL007642	Angiopoietin-related protein 4	ANGL4	Q9BY76	51129	ANGPTL4	Human	RFU	Protein
ANK2	7624-19_3	SL014896	Ankyrin-2	ANK2	Q01484	287	ANK2	Human	RFU	Protein
ANP32B	4194-26_3	SL011769	Acidic leucine-rich nuclear phosphoprotein 32 family member B	AN32B	Q92688	10541	ANP32B	Human	RFU	Protein
ANXA1	4960-72_1	SL004208	Annexin A1	annexin I	P04083	301	ANXA1	Human	RFU	Protein
ANXA2	4961-17_1	SL004209	Annexin A2	annexin II	P07355	302	ANXA2	Human	RFU	Protein
ANXA5	14158-17_3	SL003848	Annexin A5	Annexin V	P08758	308	ANXA5	Human	RFU	Protein
ANXA6	5335-73_3	SL003647	Annexin A6	annexin VI	P08133	309	ANXA6	Human	RFU	Protein
APCS	2474-54_5	SL000573	Serum amyloid P-component	SAP	P02743	325	APCS	Human	RFU	Protein
APOA1	2750-3_2	SL000019	Apolipoprotein A-I	Apo A-I	P02647	335	APOA1	Human	RFU	Protein
APOB	2797-56_2	SL000020	Apolipoprotein B	Apo B	P04114	338	APOB	Human	RFU	Protein
APOD	4712-28_2	SL005361	Apolipoprotein D	Apo D	P05090	347	APOD	Human	RFU	Protein
APOE	2418-55_9	SL000276	Apolipoprotein E	Apo E	P02649	348	APOE	Human	RFU	Protein
APOE.1	2937-10_2	SL004668	Apolipoprotein E (isoform E3)	Apo E3	P02649	348	APOE	Human	RFU	Protein
APOE.2	2938-55_2	SL004669	Apolipoprotein E (isoform E4)	Apo E4	P02649	348	APOE	Human	RFU	Protein
APOE.3	5312-49_3	SL000277	Apolipoprotein E (isoform E2)	Apo E2	P02649	348	APOE	Human	RFU	Protein
APOL1	11510-31_3	SL005699	Apolipoprotein L1	Apo L1	O14791	8542	APOL1	Human	RFU	Protein
APOM	14125-5_3	SL004747	Apolipoprotein M	ApoM	O95445	55937	APOM	Human	RFU	Protein
APP	3171-57_2	SL004469	Amyloid beta A4 protein	amyloid precursor protein	P05067	351	APP	Human	RFU	Protein
AREG	2970-60_2	SL000136	Amphiregulin	AREG	P15514	374	AREG	Human	RFU	Protein
ARG1	5867-60_3	SL008008	Arginase-1	ARGI1	P05089	383	ARG1	Human	RFU	Protein
ARID3A	3875-62_1	SL011549	AT-rich interactive domain-containing protein 3A	ARI3A	Q99856	1820	ARID3A	Human	RFU	Protein
ARPP19	4963-19_1	SL011708	cAMP-regulated phosphoprotein 19	ARP19	P56211	10776	ARPP19	Human	RFU	Protein
ARSA	3583-54_4	SL005392	Arylsulfatase A	Arylsulfatase A	P15289	410	ARSA	Human	RFU	Protein
ARSB	3172-28_2	SL008956	Arylsulfatase B	ARSB	P15848	411	ARSB	Human	RFU	Protein
ARTN	2939-10_2	SL004670	Artemin	Artemin	Q5T4W7	9048	ARTN	Human	RFU	Protein
ASAH2	3212-30_3	SL010375	Neutral ceramidase	ASAH2	Q9NR71	56624	ASAH2	Human	RFU	Protein
ASGR1	5452-71_3	SL008835	Asialoglycoprotein receptor 1	ASGR1	P07306	432	ASGR1	Human	RFU	Protein
ATP5B	4965-27_1	SL005675	ATP synthase subunit beta, mitochondrial	ATP synthase beta chain	P06576	506	ATP5B	Human	RFU	Protein
ATP5O	9202-309_3	SL008113	ATP synthase subunit O, mitochondrial	ATPO	P48047	539	ATP5O	Human	RFU	Protein
AURKA	3091-70_2	SL004771	Aurora kinase A	Aurora kinase A	O14965	6790	AURKA	Human	RFU	Protein
AURKB	3346-72_2	SL010520	Aurora kinase B	AURKB	Q96GD4	9212	AURKB	Human	RFU	Protein
AZU1	2751-16_2	SL004589	Azurocidin	Azurocidin	P20160	566	AZU1	Human	RFU	Protein
B2M	3485-28_2	SL000283	Beta-2-microglobulin	b2-Microglobulin	P61769	567	B2M	Human	RFU	Protein
BAD	5870-23_2	SL003700	Bcl2-associated agonist of cell death	BAD	Q92934	572	BAD	Human	RFU	Protein
BCAM	2816-50_2	SL001902	Basal Cell Adhesion Molecule	BCAM	P50895	4059	BCAM	Human	RFU	Protein
BCAN	3461-58_1	SL009089	Brevican core protein	PGCB	Q96GW7	63827	BCAN	Human	RFU	Protein
BCAR3	5262-57_3	SL014470	Breast cancer anti-estrogen resistance protein 3	BCAR3	O75815	8412	BCAR3	Human	RFU	Protein
BCL2	3412-7_1	SL000104	Apoptosis regulator Bcl-2	Bcl-2	P10415	596	BCL2	Human	RFU	Protein
BCL2A1	3413-50_2	SL003703	Bcl-2-related protein A1	BFL1	Q16548	597	BCL2A1	Human	RFU	Protein
BCL2L1	4423-77_2	SL003674	Bcl-2-like protein 1	BCL2-like 1 protein	Q07817	598	BCL2L1	Human	RFU	Protein
BCL2L2	13097-11_3	SL003774	Bcl-2-like protein 2	Apoptosis regulator Bcl-W	Q92843	599	BCL2L2	Human	RFU	Protein
BCL6	13111-79_3	SL007223	B-cell lymphoma 6 protein	BCL6	P41182	604	BCL6	Human	RFU	Protein
BDNF	2421-7_3	SL003951	Brain-derived neurotrophic factor	BDNF	P23560	627	BDNF	Human	RFU	Protein
BGLAP	11067-13_3	SL001791	Osteocalcin	Osteocalcin	P02818	632	BGLAP	Human	RFU	Protein
BGN	3284-75_1	SL007804	Biglycan	BGN	P21810	633	BGN	Human	RFU	Protein
BID	5798-3_3	SL003704	BH3-interacting domain death agonist	BID	P55957	637	BID	Human	RFU	Protein
BIRC3	4973-18_1	SL003728	Baculoviral IAP repeat-containing protein 3	cIAP-2	Q13489	330	BIRC3	Human	RFU	Protein
BIRC5	3472-40_2	SL000582	Baculoviral IAP repeat-containing protein 5	Survivin	O15392	332	BIRC5	Human	RFU	Protein
BIRC7	4561-65_2	SL004299	Baculoviral IAP repeat-containing protein 7 Isoform beta	Livin B	Q96CA5	79444	BIRC7	Human	RFU	Protein
BMP1	3348-49_2	SL003994	Bone morphogenetic protein 1	BMP-1	P13497	649	BMP1	Human	RFU	Protein
BMP10	3587-53_2	SL007056	Bone morphogenetic protein 10	BMP10	O95393	27302	BMP10	Human	RFU	Protein
BMP6	8459-10_3	SL003993	Bone morphogenetic protein 6	BMP-6	P22004	654	BMP6	Human	RFU	Protein
BMP7	2972-57_2	SL004078	Bone morphogenetic protein 7	BMP-7	P18075	655	BMP7	Human	RFU	Protein
BMPER	3654-27_5	SL007531	BMP-binding endothelial regulator protein	BMPER	Q8N8U9	168667	BMPER	Human	RFU	Protein
BMPR1A	4859-6_1	SL004080	Bone morphogenetic protein receptor type-1A	BMPR1A	P36894	657	BMPR1A	Human	RFU	Protein
BMPR2	4862-63_1	SL004133	Bone morphogenetic protein receptor type-2	BMP RII	Q13873	659	BMPR2	Human	RFU	Protein
BMX	3414-40_2	SL006374	Cytoplasmic tyrosine-protein kinase BMX	BMX	P51813	660	BMX	Human	RFU	Protein
BOC	4328-2_2	SL013490	Brother of CDO	BOC	Q9BWV1	91653	BOC	Human	RFU	Protein
BPI	4126-22_1	SL004511	Bactericidal permeability-increasing protein	BPI	P17213	671	BPI	Human	RFU	Protein
BRF1	5384-67_3	SL016130	Transcription factor IIIB 90 kDa subunit	BRF-1	Q92994	2972	BRF1	Human	RFU	Protein
BSG	3585-54_4	SL009341	Basigin	BASI	P35613	682	BSG	Human	RFU	Protein
BST1	4535-50_2	SL008644	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1	Q10588	683	BST1	Human	RFU	Protein
BTC	13088-397_3	SL000137	Betacellulin	BTC	P35070	685	BTC	Human	RFU	Protein
BTK	3416-2_2	SL010521	Tyrosine-protein kinase BTK	BTK	Q06187	695	BTK	Human	RFU	Protein
C10orf54	14123-34_3	SL017424	Platelet receptor Gi24	GI24	Q9H7M9		C10orf54	Human	RFU	Protein
C1QA.C1QB..C1QC	2753-2_2	SL000309	Complement C1q subcomponent	C1q	P02745  P02746  P02747	712 713 714	C1QA C1QB  C1QC	Human	RFU	Protein
C1QBP	4967-1_1	SL008177	Complement component 1 Q subcomponent-binding protein, mitochondrial	C1QBP	Q07021	708	C1QBP	Human	RFU	Protein
C1R	3285-23_2	SL000310	Complement C1r subcomponent	C1r	P00736	715	C1R	Human	RFU	Protein
C2	3186-2_2	SL002525	Complement C2	C2	P06681	717	C2	Human	RFU	Protein
C3	2683-1_2	SL000456	Complement C3b, inactivated	iC3b	P01024	718	C3	Human	RFU	Protein
C3.1	2754-50_2	SL000312	Complement C3	C3	P01024	718	C3	Human	RFU	Protein
C3.2	2755-8_2	SL003220	C3a anaphylatoxin des Arginine	C3adesArg	P01024	718	C3	Human	RFU	Protein
C3.3	4480-59_2	SL000314	Complement C3b	C3b	P01024	718	C3	Human	RFU	Protein
C3.4	4900-8_1	SL000313	C3a anaphylatoxin	C3a	P01024	718	C3	Human	RFU	Protein
C3.5	5803-24_3	SL003362	Complement C3d fragment	C3d	P01024	718	C3	Human	RFU	Protein
C4A.C4B	2182-54_1	SL000318	Complement C4b	C4b	P0C0L4  P0C0L5	720 721	C4A C4B	Human	RFU	Protein
C4A.C4B.1	4481-34_2	SL000316	Complement C4	C4	P0C0L4, P0C0L5	720 721	C4A C4B	Human	RFU	Protein
C5	2381-52_4	SL000319	Complement C5	C5	P01031	727	C5	Human	RFU	Protein
C5.1	2851-63_3	SL000320	C5a anaphylatoxin	C5a	P01031	727	C5	Human	RFU	Protein
C5.C6	4482-66_2	SL000321	Complement C5b-C6 complex	C5b, 6 Complex	P01031,P13671	727 729	C5 C6	Human	RFU	Protein
C6	4127-75_1	SL000322	Complement component C6	C6	P13671	729	C6	Human	RFU	Protein
C7	2888-49_2	SL000323	Complement component C7	C7	P10643	730	C7	Human	RFU	Protein
C8A.C8B.C8G	2429-27_4	SL000324	Complement component C8	C8	P07357,P07358,P07360	731 732 733	C8A C8B C8G	Human	RFU	Protein
C9	3060-43_2	SL000325	Complement component C9	C9	P02748	735	C9	Human	RFU	Protein
CA1	4969-2_1	SL004866	Carbonic anhydrase 1	Carbonic anhydrase I	P00915	759	CA1	Human	RFU	Protein
CA10	3289-19_2	SL010449	Carbonic anhydrase-related protein 10	Carbonic Anhydrase X	Q9NS85	56934	CA10	Human	RFU	Protein
CA13	3420-21_2	SL004869	Carbonic anhydrase 13	Carbonic anhydrase XIII	Q8N1Q1	377677	CA13	Human	RFU	Protein
CA2	4970-55_1	SL000339	Carbonic anhydrase 2	carbonic anhydrase II	P00918	760	CA2	Human	RFU	Protein
CA3	3799-11_2	SL004867	Carbonic anhydrase 3	Carbonic anhydrase III	P07451	761	CA3	Human	RFU	Protein
CA4	3177-49_2	SL010369	Carbonic anhydrase 4	Carbonic Anhydrase IV	P22748	762	CA4	Human	RFU	Protein
CA6	3352-80_3	SL010288	Carbonic anhydrase 6	Carbonic anhydrase 6	P23280	765	CA6	Human	RFU	Protein
CA7	3356-50_1	SL004868	Carbonic anhydrase 7	Carbonic anhydrase VII	P43166	766	CA7	Human	RFU	Protein
CA9	3798-71_1	SL005508	Carbonic anhydrase 9	Carbonic anhydrase 9	Q16790	768	CA9	Human	RFU	Protein
CADM1	3326-58_2	SL004805	Cell adhesion molecule 1	Nectin-like protein 2	Q9BY67	23705	CADM1	Human	RFU	Protein
CADM3	3630-27_4	SL004804	Cell adhesion molecule 3	Nectin-like protein 1	Q8N126	57863	CADM3	Human	RFU	Protein
CALR	5264-65_3	SL003520	Calreticulin	calreticulin	P27797	811	CALR	Human	RFU	Protein
CAMK1	3592-4_3	SL010489	Calcium/calmodulin-dependent protein kinase type 1	CAMK1	Q14012	8536	CAMK1	Human	RFU	Protein
CAMK1D	3418-12_2	SL010490	Calcium/calmodulin-dependent protein kinase type 1D	CAMK1D	Q8IU85	57118	CAMK1D	Human	RFU	Protein
CAMK2A	3350-53_2	SL010491	Calcium/calmodulin-dependent protein kinase type II subunit alpha	CAMK2A	Q9UQM7	815	CAMK2A	Human	RFU	Protein
CAMK2B	3351-1_1	SL010492	Calcium/calmodulin-dependent protein kinase type II subunit beta	CAMK2B	Q13554	816	CAMK2B	Human	RFU	Protein
CAMK2D	3419-49_2	SL010493	Calcium/calmodulin-dependent protein kinase type II subunit delta	CAMK2D	Q13557	817	CAMK2D	Human	RFU	Protein
CAMKK1	3877-67_2	SL004938	Calcium/calmodulin-dependent protein kinase kinase 1	CaMKK alpha	Q8N5S9	84254	CAMKK1	Human	RFU	Protein
CAPG	4968-50_1	SL008099	Macrophage-capping protein	CAPG	P40121	822	CAPG	Human	RFU	Protein
CAPN1.CAPNS1	2668-70_2	SL000337	Calpain I	Calpain I	P07384 P04632	823 826	CAPN1 CAPNS1	Human	RFU	Protein
CASP10	5340-24_3	SL003717	Caspase-10	Caspase-10	Q92851	843	CASP10	Human	RFU	Protein
CASP2	4904-7_1	SL003710	Caspase-2	Caspase-2	P42575	835	CASP2	Human	RFU	Protein
CASP3	3593-72_3	SL003711	Caspase-3	Caspase-3	P42574	836	CASP3	Human	RFU	Protein
CAST	3026-5_2	SL000338	Calpastatin	Calpastatin	P20810	831	CAST	Human	RFU	Protein
CAT	3488-64_2	SL000342	Catalase	Catalase	P04040	847	CAT	Human	RFU	Protein
CBX5	4540-11_2	SL009768	Chromobox protein homolog 5	CBX5	P45973	23468	CBX5	Human	RFU	Protein
CCDC80	3234-23_2	SL010390	Coiled-coil domain-containing protein 80	URB	Q76M96	151887	CCDC80	Human	RFU	Protein
CCL1	2770-51_2	SL003176	C-C motif chemokine 1	I-309	P22362	6346	CCL1	Human	RFU	Protein
CCL11	5301-7_3	SL000406	Eotaxin	Eotaxin	P51671	6356	CCL11	Human	RFU	Protein
CCL13	4144-13_1	SL000517	C-C motif chemokine 13	MCP-4	Q99616	6357	CCL13	Human	RFU	Protein
CCL14	2900-53_3	SL003329	C-C motif chemokine 14	HCC-1	Q16627	6358	CCL14	Human	RFU	Protein
CCL15	3509-1_1	SL003190	C-C motif chemokine 15	MIP-5	Q16663	6359	CCL15	Human	RFU	Protein
CCL16	4913-78_1	SL003300	C-C motif chemokine 16	HCC-4	O15467	6360	CCL16	Human	RFU	Protein
CCL17	3519-3_2	SL003196	C-C motif chemokine 17	TARC	Q92583	6361	CCL17	Human	RFU	Protein
CCL18	3044-3_2	SL003323	C-C motif chemokine 18	PARC	P55774	6362	CCL18	Human	RFU	Protein
CCL19	4922-13_1	SL003189	C-C motif chemokine 19	MIP-3b	Q99731	6363	CCL19	Human	RFU	Protein
CCL2	2578-67_2	SL000038	C-C motif chemokine 2	MCP-1	P13500	6347	CCL2	Human	RFU	Protein
CCL20	2468-62_3	SL000133	C-C motif chemokine 20	MIP-3a	P78556	6364	CCL20	Human	RFU	Protein
CCL21	2516-57_3	SL003193	C-C motif chemokine 21	6Ckine	O00585	6366	CCL21	Human	RFU	Protein
CCL22	3508-78_3	SL003187	C-C motif chemokine 22	MDC	O00626	6367	CCL22	Human	RFU	Protein
CCL23	2913-1_2	SL003302	C-C motif chemokine 23	MPIF-1	P55773	6368	CCL23	Human	RFU	Protein
CCL23.1	3028-36_2	SL003301	Ck-beta-8-1	Ck-b-8-1	P55773	6368	CCL23	Human	RFU	Protein
CCL24	4128-27_2	SL003104	C-C motif chemokine 24	Eotaxin-2	O00175	6369	CCL24	Human	RFU	Protein
CCL25	2705-5_2	SL003197	C-C motif chemokine 25	TECK	O15444	6370	CCL25	Human	RFU	Protein
CCL26	9168-31_3	SL003170	C-C motif chemokine 26	Eotaxin-3	Q9Y258	10344	CCL26	Human	RFU	Protein
CCL27	2192-63_10	SL003168	C-C motif chemokine 27	CTACK	Q9Y4X3	10850	CCL27	Human	RFU	Protein
CCL28	2890-59_2	SL003303	C-C motif chemokine 28	CCL28	Q9NRJ3	56477	CCL28	Human	RFU	Protein
CCL3	3040-59_1	SL000519	C-C motif chemokine 3	MIP-1a	P10147	6348	CCL3	Human	RFU	Protein
CCL3L1	2783-18_2	SL004355	C-C motif chemokine 3-like 1	LD78-beta	P16619	414062	CCL3L1	Human	RFU	Protein
CCL4L1	2781-63_2	SL004356	C-C motif chemokine 4-like	LAG-1	Q8NHW4	388372	CCL4L1	Human	RFU	Protein
CCL5	5480-49_3	SL000563	C-C motif chemokine 5	RANTES	P13501	6352	CCL5	Human	RFU	Protein
CCL7	4886-3_1	SL000516	C-C motif chemokine 7	MCP-3	P80098	6354	CCL7	Human	RFU	Protein
CCL8	2785-15_2	SL000515	C-C motif chemokine 8	MCP-2	P80075	6355	CCL8	Human	RFU	Protein
CCNB1	5347-59_3	SL000130	G2/mitotic-specific cyclin-B1	Cyclin B1	P14635	891	CCNB1	Human	RFU	Protein
CD109	3290-50_2	SL008773	CD109 antigen	CD109	Q6YHK3	135228	CD109	Human	RFU	Protein
CD163	5028-59_1	SL005764	Scavenger receptor cysteine-rich type 1 protein M130	sCD163	Q86VB7	9332	CD163	Human	RFU	Protein
CD177	13116-25_3	SL008931	CD177 antigen	CD177	Q8N6Q3	57126	CD177	Human	RFU	Protein
CD200	5112-73_3	SL014268	OX-2 membrane glycoprotein	OX2G	P41217	4345	CD200	Human	RFU	Protein
CD200R1	5103-30_3	SL014288	Cell surface glycoprotein CD200 receptor 1	MO2R1	Q8TD46	131450	CD200R1	Human	RFU	Protein
CD207	3361-26_2	SL010610	C-type lectin domain family 4 member K	CLC4K	Q9UJ71	50489	CD207	Human	RFU	Protein
CD209	3029-52_2	SL005157	CD209 antigen	DC-SIGN	Q9NNX6	30835	CD209	Human	RFU	Protein
CD22	2891-1_3	SL004330	B-cell receptor CD22	CD22	P20273	933	CD22	Human	RFU	Protein
CD226	5062-60_3	SL011100	CD226 antigen	CD226	Q15762	10666	CD226	Human	RFU	Protein
CD244	5063-12_2	SL014188	Natural killer cell receptor 2B4	CD244	Q9BZW8	51744	CD244	Human	RFU	Protein
CD27	5412-53_3	SL004134	CD27 antigen	CD27	P26842	939	CD27	Human	RFU	Protein
CD274	5060-62_3	SL004852	Programmed cell death 1 ligand 1	B7-H1	Q9NZQ7	29126	CD274	Human	RFU	Protein
CD300C	5066-134_3	SL014270	CMRF35-like molecule 6	CLM6	Q08708	10871	CD300C	Human	RFU	Protein
CD33	3166-92_1	SL005215	Myeloid cell surface antigen CD33	Siglec-3	P20138	945	CD33	Human	RFU	Protein
CD36	2973-15_2	SL000668	Platelet glycoprotein 4	CD36 ANTIGEN	P16671	948	CD36	Human	RFU	Protein
CD38	11513-92_3	SL002722	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38	P28907	952	CD38	Human	RFU	Protein
CD4	3143-3_1	SL002524	T-cell surface glycoprotein CD4	sCD4	P01730	920	CD4	Human	RFU	Protein
CD40LG	3534-14_2	SL003862	CD40 ligand	CD40 ligand, soluble	P29965	959	CD40LG	Human	RFU	Protein
CD47	6653-58_3	SL004838	Leukocyte surface antigen CD47	CD47	Q08722	961	CD47	Human	RFU	Protein
CD48	3292-75_1	SL010450	CD48 antigen	CD48	P09326	962	CD48	Human	RFU	Protein
CD55	5069-9_3	SL004556	Complement decay-accelerating factor	DAF	P08174	1604	CD55	Human	RFU	Protein
CD59	11514-196_3	SL004557	CD59 glycoprotein	CD59	P13987	966	CD59	Human	RFU	Protein
CD5L	3293-2_4	SL006108	CD5 antigen-like	CD5L	O43866	922	CD5L	Human	RFU	Protein
CD63	9190-7_3	SL008837	CD63 antigen	CD63	P08962	967	CD63	Human	RFU	Protein
CD70	5807-77_3	SL007195	CD70 antigen	CD70	P32970	970	CD70	Human	RFU	Protein
CD80	2603-61_2	SL003738	T-lymphocyte activation antigen CD80	B7	P33681	941	CD80	Human	RFU	Protein
CD83	5065-8_2	SL014229	CD83 antigen	CD83	Q01151	9308	CD83	Human	RFU	Protein
CD84	3642-4_1	SL008588	SLAM family member 5	SLAF5	Q9UIB8	8832	CD84	Human	RFU	Protein
CD86	5337-64_3	SL004131	T-lymphocyte activation antigen CD86	B7-2	P42081	942	CD86	Human	RFU	Protein
CD93	14136-234_3	SL007696	Complement component C1q receptor	C1QR1	Q9NPY3	22918	CD93	Human	RFU	Protein
CD97	2822-56_2	SL004726	CD97 antigen	CD97	P48960	976	CD97	Human	RFU	Protein
CDC2.CCNB1	3422-4_2	SL010494	Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex	CDK1/cyclin B	P06493 P14635	983 891	CDC2 CCNB1	Human	RFU	Protein
CDC37	3879-50_1	SL011232	Hsp90 co-chaperone Cdc37	CDC37	Q16543	11140	CDC37	Human	RFU	Protein
CDC42BPB	3629-60_4	SL006805	Serine/threonine-protein kinase MRCK beta	MRCKB	Q9Y5S2	9578	CDC42BPB	Human	RFU	Protein
CDH1	2501-51_3	SL000055	Cadherin-1	Cadherin E	P12830	999	CDH1	Human	RFU	Protein
CDH12	3656-9_1	SL004864	Cadherin-12	Cadherin-12	P55289	1010	CDH12	Human	RFU	Protein
